student_id,semester,fee_submission_date,fee_amount
32,6,2022-09-08,3580
58,5,2022-10-05,2299
32,6,2023-02-28,1551
46,3,2022-05-05,1987
26,4,2023-09-05,1217
77,1,2023-01-20,1193
45,2,2022-11-15,2413
45,4,2023-06-26,4050
90,5,2022-11-18,1986
22,7,2022-04-18,4709
49,1,2023-12-19,1684
60,1,2022-09-18,2045
10,6,2023-09-17,3424
21,6,2022-01-31,4600
2,8,2022-03-13,3889
15,7,2022-10-12,2791
10,1,2022-07-05,2405
83,3,2023-12-30,1838
8,8,2023-10-05,3131
72,1,2023-11-13,3992
7,1,2023-09-11,1263
67,7,2023-11-17,1059
46,5,2022-05-25,4122
21,1,2023-10-27,2849
62,3,2023-02-15,4436
8,3,2023-02-23,3890
50,7,2022-09-17,2468
42,3,2023-08-18,3473
96,2,2022-01-12,3167
99,2,2022-05-03,2187
67,7,2022-09-06,2058
11,3,2023-01-18,3848
85,5,2023-07-18,1550
44,8,2022-01-02,3298
73,2,2023-10-07,4101
48,8,2023-07-25,1193
77,5,2022-10-01,2539
41,6,2023-06-09,3252
60,4,2022-05-27,1013
23,3,2022-07-10,3824
16,3,2022-07-21,4914
31,3,2022-01-22,3926
55,3,2022-01-31,2953
67,7,2023-01-25,1960
71,4,2022-11-12,1249
71,1,2022-08-15,4007
49,6,2023-03-05,3271
28,5,2022-11-09,2103
67,6,2022-10-24,2995
10,6,2023-11-09,4458
58,7,2022-06-20,3449
14,4,2022-04-05,4742
30,2,2022-01-04,1569
2,3,2022-08-23,2884
14,1,2022-07-01,3779
84,7,2022-04-16,3712
37,4,2022-08-06,1757
64,7,2023-02-10,3111
15,7,2023-11-16,4515
22,7,2023-10-04,1517
16,7,2023-10-01,4608
59,3,2022-10-29,2773
35,6,2022-10-27,1109
81,7,2023-09-15,3431
95,7,2022-11-02,1513
54,1,2023-02-27,3207
56,7,2023-01-26,3658
61,4,2022-12-17,4640
5,6,2022-08-17,4329
8,1,2022-11-21,1964
80,2,2023-04-18,2031
93,5,2022-04-19,3007
44,3,2022-07-31,2405
56,2,2022-08-09,2346
46,7,2022-12-21,3483
28,6,2022-11-14,1038
17,1,2023-05-17,2927
77,2,2022-11-25,1540
86,6,2022-12-22,4516
78,4,2022-10-08,4633
54,2,2023-07-04,4509
87,2,2023-09-20,3158
13,8,2022-04-25,2702
44,4,2022-12-10,4127
76,7,2023-04-16,3851
89,3,2023-06-07,4608
67,7,2023-05-13,1517
18,3,2023-10-23,1379
59,4,2023-09-18,3917
61,2,2023-07-09,3378
57,7,2023-10-06,1219
25,3,2022-09-02,2848
63,7,2023-10-06,1247
33,5,2022-01-21,4130
